CustomerID,SignupDate,Plan,MonthlyFee,AcquisitionChannel,MarketingCost,Churn,ChurnDate,count of yes ,count of no,total customer,churn rate,total revenue,arpu,lost due to churn,cltv
50001,13-04-2023,Enterprise,7999,Referral,277,No,,4529,10471,15000,30%,15665931,1044.325778,4727736,3459.026496
50002,11-03-2024,Pro,2499,Organic,428,No,,,,,,,,,
50003,28-09-2023,Enterprise,7999,Referral,1694,No,,,,,,,,,
50004,17-04-2023,Pro,2499,Organic,900,No,,,,,,,,,
50005,13-03-2023,Pro,2499,Referral,787,No,,,,,,,,,
50006,01-12-2024,Basic,999,Referral,1295,No,,,,,,,,,
50007,21-01-2023,Basic,999,Organic,1519,Yes,13-01-2024 00:00,,,,,,,,
50008,06-09-2024,Basic,999,Paid Ads,1718,Yes,02-12-2024 00:00,,,,,,,,
50009,02-05-2023,Basic,999,Social Media,1037,No,,,,,,,,,
50010,11-04-2024,Basic,999,Organic,1079,Yes,23-05-2024 00:00,,,,,,,,
50011,03-08-2023,Basic,999,Paid Ads,834,No,,,,,,,,,
50012,27-11-2023,Basic,999,Paid Ads,1158,No,,,,,,,,,
50013,03-04-2024,Basic,999,Organic,396,No,,,,,,,,,
50014,29-03-2023,Basic,999,Social Media,1592,Yes,15-09-2023 00:00,,,,,,,,
50015,08-01-2024,Pro,2499,Organic,1618,No,,,,,,,,,
50016,10-04-2023,Enterprise,7999,Referral,721,Yes,12-09-2023 00:00,,,,,,,,
50017,25-10-2024,Basic,999,Referral,1358,No,,,,,,,,,
50018,11-05-2023,Basic,999,Paid Ads,1008,No,,,,,,,,,
50019,23-10-2024,Basic,999,Referral,1162,Yes,16-03-2025 00:00,,,,,,,,
50020,05-11-2023,Enterprise,7999,Social Media,1342,Yes,14-02-2024 00:00,,,,,,,,
50021,10-12-2023,Basic,999,Organic,1340,Yes,01-03-2024 00:00,,,,,,,,
50022,06-05-2024,Pro,2499,Social Media,805,Yes,11-03-2025 00:00,,,,,,,,
50023,18-02-2024,Basic,999,Paid Ads,1798,Yes,02-05-2024 00:00,,,,,,,,
50024,21-01-2024,Basic,999,Referral,727,No,,,,,,,,,
50025,11-07-2023,Basic,999,Referral,1963,No,,,,,,,,,
50026,04-10-2023,Basic,999,Organic,772,No,,,,,,,,,
50027,10-06-2023,Enterprise,7999,Social Media,1724,No,,,,,,,,,
50028,04-04-2024,Basic,999,Social Media,519,No,,,,,,,,,
50029,10-11-2023,Pro,2499,Organic,752,Yes,07-10-2024 00:00,,,,,,,,
50030,22-01-2023,Pro,2499,Referral,923,Yes,25-09-2023 00:00,,,,,,,,
50031,10-09-2023,Pro,2499,Paid Ads,1297,No,,,,,,,,,
50032,14-07-2024,Basic,999,Paid Ads,812,No,,,,,,,,,
50033,19-04-2024,Basic,999,Organic,966,Yes,04-06-2024 00:00,,,,,,,,
50034,28-02-2023,Basic,999,Organic,913,No,,,,,,,,,
50035,25-05-2024,Basic,999,Organic,967,Yes,09-07-2024 00:00,,,,,,,,
50036,12-11-2024,Pro,2499,Social Media,212,No,,,,,,,,,
50037,20-04-2024,Basic,999,Referral,1039,No,,,,,,,,,
50038,30-11-2024,Pro,2499,Referral,273,No,,,,,,,,,
50039,09-07-2023,Basic,999,Organic,1110,Yes,24-09-2023 00:00,,,,,,,,
50040,17-11-2024,Enterprise,7999,Paid Ads,173,Yes,07-04-2025 00:00,,,,,,,,
50041,16-07-2024,Basic,999,Social Media,1960,No,,,,,,,,,
50042,20-07-2024,Basic,999,Organic,1922,No,,,,,,,,,
50043,01-09-2023,Enterprise,7999,Social Media,736,No,,,,,,,,,
50044,19-05-2024,Basic,999,Organic,1659,No,,,,,,,,,
50045,11-05-2023,Enterprise,7999,Social Media,131,No,,,,,,,,,
50046,29-04-2024,Basic,999,Paid Ads,1377,Yes,25-09-2024 00:00,,,,,,,,
50047,08-10-2024,Basic,999,Paid Ads,596,No,,,,,,,,,
50048,21-01-2023,Pro,2499,Paid Ads,1236,Yes,05-11-2023 00:00,,,,,,,,
50049,16-06-2023,Enterprise,7999,Paid Ads,294,No,,,,,,,,,
50050,01-10-2023,Basic,999,Referral,627,No,,,,,,,,,
50051,23-01-2024,Enterprise,7999,Referral,540,No,,,,,,,,,
50052,23-08-2024,Pro,2499,Social Media,1612,Yes,27-07-2025 00:00,,,,,,,,
50053,12-11-2023,Pro,2499,Organic,1620,No,,,,,,,,,
50054,14-01-2023,Basic,999,Referral,823,Yes,26-02-2023 00:00,,,,,,,,
50055,30-08-2023,Basic,999,Organic,1743,No,,,,,,,,,
50056,12-12-2023,Enterprise,7999,Social Media,123,No,,,,,,,,,
50057,18-07-2024,Enterprise,7999,Organic,389,No,,,,,,,,,
50058,06-12-2023,Basic,999,Paid Ads,995,No,,,,,,,,,
50059,02-04-2023,Basic,999,Paid Ads,407,No,,,,,,,,,
50060,02-01-2024,Basic,999,Referral,403,Yes,14-11-2024 00:00,,,,,,,,
50061,30-03-2024,Pro,2499,Social Media,1978,No,,,,,,,,,
50062,03-03-2024,Basic,999,Referral,730,Yes,12-07-2024 00:00,,,,,,,,
50063,23-05-2024,Basic,999,Referral,1816,No,,,,,,,,,
50064,04-02-2023,Basic,999,Referral,1050,Yes,01-02-2024 00:00,,,,,,,,
50065,25-07-2023,Pro,2499,Social Media,137,Yes,29-05-2024 00:00,,,,,,,,
50066,22-03-2023,Basic,999,Paid Ads,485,Yes,21-11-2023 00:00,,,,,,,,
50067,15-07-2024,Basic,999,Paid Ads,844,Yes,04-12-2024 00:00,,,,,,,,
50068,23-01-2024,Pro,2499,Referral,1704,No,,,,,,,,,
50069,02-01-2023,Pro,2499,Organic,181,No,,,,,,,,,
50070,25-01-2024,Basic,999,Paid Ads,1241,Yes,10-10-2024 00:00,,,,,,,,
50071,19-07-2024,Basic,999,Paid Ads,1944,Yes,15-06-2025 00:00,,,,,,,,
50072,16-04-2023,Pro,2499,Social Media,149,No,,,,,,,,,
50073,21-04-2024,Pro,2499,Paid Ads,768,No,,,,,,,,,
50074,03-12-2024,Pro,2499,Paid Ads,173,No,,,,,,,,,
50075,06-02-2024,Enterprise,7999,Referral,1101,No,,,,,,,,,
50076,30-12-2024,Pro,2499,Referral,794,No,,,,,,,,,
50077,09-07-2024,Pro,2499,Social Media,1229,No,,,,,,,,,
50078,11-06-2023,Basic,999,Social Media,1824,No,,,,,,,,,
50079,21-07-2023,Basic,999,Organic,1941,Yes,09-01-2024 00:00,,,,,,,,
50080,27-09-2023,Basic,999,Paid Ads,1907,No,,,,,,,,,
50081,28-09-2023,Basic,999,Referral,1722,Yes,31-10-2023 00:00,,,,,,,,
50082,31-03-2024,Pro,2499,Referral,1985,No,,,,,,,,,
50083,06-04-2024,Basic,999,Paid Ads,1449,No,,,,,,,,,
50084,27-12-2024,Pro,2499,Social Media,783,No,,,,,,,,,
50085,09-09-2023,Basic,999,Referral,1887,Yes,29-12-2023 00:00,,,,,,,,
50086,02-12-2024,Basic,999,Social Media,455,No,,,,,,,,,
50087,23-10-2023,Enterprise,7999,Referral,1591,Yes,25-06-2024 00:00,,,,,,,,
50088,25-12-2024,Basic,999,Referral,1779,No,,,,,,,,,
50089,20-12-2024,Basic,999,Organic,1407,No,,,,,,,,,
50090,04-12-2023,Basic,999,Referral,1113,No,,,,,,,,,
50091,22-02-2023,Enterprise,7999,Paid Ads,284,No,,,,,,,,,
50092,05-08-2023,Basic,999,Paid Ads,253,No,,,,,,,,,
50093,07-07-2023,Pro,2499,Paid Ads,953,No,,,,,,,,,
50094,15-01-2024,Basic,999,Social Media,217,Yes,06-08-2024 00:00,,,,,,,,
50095,07-05-2024,Pro,2499,Referral,366,Yes,26-10-2024 00:00,,,,,,,,
50096,10-02-2023,Basic,999,Social Media,1508,No,,,,,,,,,
50097,06-06-2023,Pro,2499,Organic,936,No,,,,,,,,,
50098,15-01-2023,Pro,2499,Referral,354,No,,,,,,,,,
50099,06-03-2023,Pro,2499,Paid Ads,1364,Yes,23-06-2023 00:00,,,,,,,,
50100,04-06-2024,Pro,2499,Organic,270,No,,,,,,,,,
50101,10-12-2023,Pro,2499,Organic,716,No,,,,,,,,,
50102,09-05-2023,Pro,2499,Referral,1101,No,,,,,,,,,
50103,09-10-2024,Basic,999,Paid Ads,647,No,,,,,,,,,
50104,16-04-2024,Pro,2499,Social Media,1701,No,,,,,,,,,
50105,04-03-2023,Basic,999,Referral,1308,No,,,,,,,,,
50106,19-05-2023,Basic,999,Paid Ads,801,No,,,,,,,,,
50107,13-05-2024,Basic,999,Organic,766,No,,,,,,,,,
50108,15-08-2024,Basic,999,Referral,992,No,,,,,,,,,
50109,27-01-2024,Basic,999,Organic,509,No,,,,,,,,,
50110,05-11-2024,Pro,2499,Paid Ads,838,No,,,,,,,,,
50111,23-02-2024,Basic,999,Social Media,1776,No,,,,,,,,,
50112,16-10-2023,Basic,999,Social Media,1711,Yes,04-03-2024 00:00,,,,,,,,
50113,14-01-2024,Pro,2499,Organic,245,No,,,,,,,,,
50114,04-05-2024,Basic,999,Organic,1161,No,,,,,,,,,
50115,19-08-2023,Pro,2499,Organic,589,Yes,08-03-2024 00:00,,,,,,,,
50116,10-02-2023,Pro,2499,Referral,361,No,,,,,,,,,
50117,28-01-2023,Enterprise,7999,Paid Ads,1249,Yes,20-04-2023 00:00,,,,,,,,
50118,15-05-2023,Pro,2499,Organic,1727,Yes,31-07-2023 00:00,,,,,,,,
50119,20-07-2023,Basic,999,Organic,1919,Yes,29-02-2024 00:00,,,,,,,,
50120,02-02-2023,Basic,999,Organic,444,No,,,,,,,,,
50121,17-02-2023,Basic,999,Social Media,1384,Yes,07-05-2023 00:00,,,,,,,,
50122,17-05-2024,Enterprise,7999,Organic,1566,No,,,,,,,,,
50123,11-02-2024,Basic,999,Paid Ads,978,No,,,,,,,,,
50124,27-07-2024,Basic,999,Social Media,1231,No,,,,,,,,,
50125,28-12-2024,Basic,999,Paid Ads,1680,No,,,,,,,,,
50126,09-04-2023,Pro,2499,Social Media,1560,No,,,,,,,,,
50127,14-11-2024,Basic,999,Social Media,613,No,,,,,,,,,
